INSERT ALL
    INTO USERS (USER_ID, EMAIL, NAME, PHONE_NUMBER) VALUES ('jessicahunter', 'nicolejohnson22@naver.com', '황현정', '01085713642')
    INTO USERS (USER_ID, EMAIL, NAME, PHONE_NUMBER) VALUES ('kevinvargas', 'jonquinn65@naver.com', '구지연', '01047122544')
    INTO USERS (USER_ID, EMAIL, NAME, PHONE_NUMBER) VALUES ('anitarichardson', 'amandajackson60@gmail.com', '최현주', '01092313426')
    INTO USERS (USER_ID, EMAIL, NAME, PHONE_NUMBER) VALUES ('vhunt', 'nicholasfreeman68@naver.com', '황영철', '01069587264')
    INTO USERS (USER_ID, EMAIL, NAME, PHONE_NUMBER) VALUES ('gblackwell', 'daniellelewis99@naver.com', '심서연', '01080210681')
    INTO USERS (USER_ID, EMAIL, NAME, PHONE_NUMBER) VALUES ('xlopez', 'annaproctor33@naver.com', '권예진', '01066130180')
    INTO USERS (USER_ID, EMAIL, NAME, PHONE_NUMBER) VALUES ('joseph39', 'angelatate91@naver.com', '오옥자', '01019499193')
    INTO USERS (USER_ID, EMAIL, NAME, PHONE_NUMBER) VALUES ('yboone', 'haileyedwards83@naver.com', '한예은', '01098410110')
    INTO USERS (USER_ID, EMAIL, NAME, PHONE_NUMBER) VALUES ('tararyan', 'ericphillips80@naver.com', '문정숙', '01052130587')
    INTO USERS (USER_ID, EMAIL, NAME, PHONE_NUMBER) VALUES ('krodgers', 'michaelmorales59@gmail.com', '오지연', '01083733228')
    INTO USERS (USER_ID, EMAIL, NAME, PHONE_NUMBER) VALUES ('crystalkennedy', 'ginayoung24@gmail.com', '박은서', '01089951573')
    INTO USERS (USER_ID, EMAIL, NAME, PHONE_NUMBER) VALUES ('xwilson', 'markthomas21@gmail.com', '박명숙', '01035821735')
    INTO USERS (USER_ID, EMAIL, NAME, PHONE_NUMBER) VALUES ('williamsjames', 'jonathanbennett35@naver.com', '이지후', '01061212338')
    INTO USERS (USER_ID, EMAIL, NAME, PHONE_NUMBER) VALUES ('smithkelly', 'martinmoore51@naver.com', '류영철', '01063721183')
    INTO USERS (USER_ID, EMAIL, NAME, PHONE_NUMBER) VALUES ('raymondsmith', 'brittanystokes53@naver.com', '문현우', '01097690696')
    INTO USERS (USER_ID, EMAIL, NAME, PHONE_NUMBER) VALUES ('dhall', 'jennifergutierrez47@gmail.com', '유예진', '01086246470')
    INTO USERS (USER_ID, EMAIL, NAME, PHONE_NUMBER) VALUES ('glassandrew', 'paulaphillips38@gmail.com', '우영길', '01043113917')
    INTO USERS (USER_ID, EMAIL, NAME, PHONE_NUMBER) VALUES ('sanderssamantha', 'stephanieingram87@gmail.com', '성주원', '01015914201')
    INTO USERS (USER_ID, EMAIL, NAME, PHONE_NUMBER) VALUES ('richardwilson', 'fernandobarnes80@naver.com', '오수진', '01049039255')
    INTO USERS (USER_ID, EMAIL, NAME, PHONE_NUMBER) VALUES ('ricardowhite', 'shanedeleon20@gmail.com', '조영숙', '01088363392')
    INTO USERS (USER_ID, EMAIL, NAME, PHONE_NUMBER) VALUES ('ericjones', 'alexishubbard16@naver.com', '허진우', '01013637851')
    INTO USERS (USER_ID, EMAIL, NAME, PHONE_NUMBER) VALUES ('tracysmith', 'carolpoole82@naver.com', '하민석', '01045269084')
    INTO USERS (USER_ID, EMAIL, NAME, PHONE_NUMBER) VALUES ('sscott', 'noahgreen40@naver.com', '지도현', '01074025645')
    INTO USERS (USER_ID, EMAIL, NAME, PHONE_NUMBER) VALUES ('jonathan31', 'philipguzman88@naver.com', '한우진', '01074829518')
    INTO USERS (USER_ID, EMAIL, NAME, PHONE_NUMBER) VALUES ('william82', 'stephengonzalez85@gmail.com', '백준호', '01081082416')
    INTO USERS (USER_ID, EMAIL, NAME, PHONE_NUMBER) VALUES ('marquezjohn', 'garyhorton70@naver.com', '한은서', '01023504735')
    INTO USERS (USER_ID, EMAIL, NAME, PHONE_NUMBER) VALUES ('timothygardner', 'tomhanson65@gmail.com', '허상훈', '01064313796')
    INTO USERS (USER_ID, EMAIL, NAME, PHONE_NUMBER) VALUES ('hcross', 'matthewjones55@gmail.com', '성지우', '01049050127')
    INTO USERS (USER_ID, EMAIL, NAME, PHONE_NUMBER) VALUES ('mark54', 'calvinsmith69@gmail.com', '송은주', '01081469844')
    INTO USERS (USER_ID, EMAIL, NAME, PHONE_NUMBER) VALUES ('kevin99', 'melaniejackson85@naver.com', '송시우', '01020474742')
    INTO USERS (USER_ID, EMAIL, NAME, PHONE_NUMBER) VALUES ('jsmith', 'michaeljones47@gmail.com', '류현주', '01021940470')
    INTO USERS (USER_ID, EMAIL, NAME, PHONE_NUMBER) VALUES ('hunterhurst', 'jamesferguson29@gmail.com', '백민서', '01038738547')
    INTO USERS (USER_ID, EMAIL, NAME, PHONE_NUMBER) VALUES ('flopez', 'lorimullins34@naver.com', '박정훈', '01056145041')
    INTO USERS (USER_ID, EMAIL, NAME, PHONE_NUMBER) VALUES ('lrobbins', 'jenniferwright93@naver.com', '송혜진', '01016613055')
    INTO USERS (USER_ID, EMAIL, NAME, PHONE_NUMBER) VALUES ('jeremy87', 'theresashaw49@gmail.com', '최민수', '01063944395')
    INTO USERS (USER_ID, EMAIL, NAME, PHONE_NUMBER) VALUES ('suzannetaylor', 'shelbybaker18@gmail.com', '진성훈', '01049154982')
    INTO USERS (USER_ID, EMAIL, NAME, PHONE_NUMBER) VALUES ('djohnson', 'michaelramirez92@gmail.com', '배경수', '01034011382')
    INTO USERS (USER_ID, EMAIL, NAME, PHONE_NUMBER) VALUES ('julia86', 'gregoryburke30@naver.com', '최현숙', '01082533517')
    INTO USERS (USER_ID, EMAIL, NAME, PHONE_NUMBER) VALUES ('goodjose', 'dr.judithjohnson33@naver.com', '신현정', '01090729114')
    INTO USERS (USER_ID, EMAIL, NAME, PHONE_NUMBER) VALUES ('floresbryan', 'tracywheeler47@gmail.com', '구순옥', '01046481981')
    INTO USERS (USER_ID, EMAIL, NAME, PHONE_NUMBER) VALUES ('gordonbrandon', 'kimberlythompson98@gmail.com', '손상현', '01041703566')
    INTO USERS (USER_ID, EMAIL, NAME, PHONE_NUMBER) VALUES ('ortizbrandy', 'danieldixon18@gmail.com', '차건우', '01024539192')
    INTO USERS (USER_ID, EMAIL, NAME, PHONE_NUMBER) VALUES ('tracy23', 'donalddavis52@gmail.com', '김지혜', '01017698358')
    INTO USERS (USER_ID, EMAIL, NAME, PHONE_NUMBER) VALUES ('wagnerdustin', 'juliejoseph71@naver.com', '고진우', '01067599284')
    INTO USERS (USER_ID, EMAIL, NAME, PHONE_NUMBER) VALUES ('carlosherman', 'michaelnewmanmd65@naver.com', '노민수', '01088917384')
    INTO USERS (USER_ID, EMAIL, NAME, PHONE_NUMBER) VALUES ('milleramanda', 'nicolenelson34@naver.com', '민성진', '01091070031')
    INTO USERS (USER_ID, EMAIL, NAME, PHONE_NUMBER) VALUES ('alex51', 'kathrynjenkins53@gmail.com', '강현정', '01064620116')
    INTO USERS (USER_ID, EMAIL, NAME, PHONE_NUMBER) VALUES ('reginacox', 'shaunkrause35@naver.com', '손성수', '01083399373')
    INTO USERS (USER_ID, EMAIL, NAME, PHONE_NUMBER) VALUES ('chloeestes', 'kelseygarza61@naver.com', '구영호', '01054392926')
    INTO USERS (USER_ID, EMAIL, NAME, PHONE_NUMBER) VALUES ('hthomas', 'robertmitchell16@naver.com', '남영호', '01080816163')
    INTO USERS (USER_ID, EMAIL, NAME, PHONE_NUMBER) VALUES ('crystalgrant', 'joshuawalker28@naver.com', '민은영', '01060210004')
    INTO USERS (USER_ID, EMAIL, NAME, PHONE_NUMBER) VALUES ('zjohnson', 'ashleycruz78@naver.com', '구지아', '01062589613')
    INTO USERS (USER_ID, EMAIL, NAME, PHONE_NUMBER) VALUES ('antoniogarcia', 'paulmcguire74@gmail.com', '손미경', '01045393555')
    INTO USERS (USER_ID, EMAIL, NAME, PHONE_NUMBER) VALUES ('brownstacy', 'andrewjennings48@gmail.com', '임승민', '01074692467')
    INTO USERS (USER_ID, EMAIL, NAME, PHONE_NUMBER) VALUES ('vanessaharris', 'marisacole49@gmail.com', '진예준', '01038518391')
    INTO USERS (USER_ID, EMAIL, NAME, PHONE_NUMBER) VALUES ('nmyers', 'jaymccoy66@naver.com', '남재현', '01085956772')
    INTO USERS (USER_ID, EMAIL, NAME, PHONE_NUMBER) VALUES ('markacosta', 'kimberlywalker31@gmail.com', '차수민', '01093176796')
    INTO USERS (USER_ID, EMAIL, NAME, PHONE_NUMBER) VALUES ('brian31', 'juliemcguire79@gmail.com', '손영희', '01052706924')
    INTO USERS (USER_ID, EMAIL, NAME, PHONE_NUMBER) VALUES ('hcruz', 'sharoncherry38@naver.com', '장현지', '01029657047')
    INTO USERS (USER_ID, EMAIL, NAME, PHONE_NUMBER) VALUES ('lovemark', 'jessicagarcia81@gmail.com', '엄경숙', '01073936265')
    INTO USERS (USER_ID, EMAIL, NAME, PHONE_NUMBER) VALUES ('mlevy', 'kathleenkim20@gmail.com', '윤상훈', '01053479097')
    INTO USERS (USER_ID, EMAIL, NAME, PHONE_NUMBER) VALUES ('morganchristopher', 'juliandaniels95@gmail.com', '강성수', '01017560150')
    INTO USERS (USER_ID, EMAIL, NAME, PHONE_NUMBER) VALUES ('robertlogan', 'laurenconner62@gmail.com', '홍수진', '01087363227')
    INTO USERS (USER_ID, EMAIL, NAME, PHONE_NUMBER) VALUES ('emily86', 'alexandertran39@gmail.com', '김준혁', '01014859359')
    INTO USERS (USER_ID, EMAIL, NAME, PHONE_NUMBER) VALUES ('vfuller', 'kristinamiller43@naver.com', '지광수', '01078074168')
    INTO USERS (USER_ID, EMAIL, NAME, PHONE_NUMBER) VALUES ('ashleysantana', 'deannadavis96@gmail.com', '정준영', '01085245215')
    INTO USERS (USER_ID, EMAIL, NAME, PHONE_NUMBER) VALUES ('jennifer22', 'ashleyweiss95@gmail.com', '양수빈', '01025054590')
    INTO USERS (USER_ID, EMAIL, NAME, PHONE_NUMBER) VALUES ('johnsoncaitlin', 'janicehernandez55@gmail.com', '문서영', '01069872941')
    INTO USERS (USER_ID, EMAIL, NAME, PHONE_NUMBER) VALUES ('dawnholmes', 'thomaswebb69@naver.com', '전은서', '01088864284')
    INTO USERS (USER_ID, EMAIL, NAME, PHONE_NUMBER) VALUES ('bsmith', 'victoriabell38@naver.com', '곽정남', '01045645418')
